Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-10-08, the article 'White House official said Zelensky call was 'crazy' and 'frightening' in memo' has a sentiment score of Sentiment(polarity=-0.01710998877665544, subjectivity=0.49146464646464644)
On 2019-10-08, the article 'Subpoenas issued in impeachment inquiry following blocking of ambassador deposition' has a sentiment score of Sentiment(polarity=0.10591944444444441, subjectivity=0.39104682539682545)
On 2019-10-08, the article 'New polls show Americans support impeachment inquiry but aren't sold on removing Trump' has a sentiment score of Sentiment(polarity=0.028804347826086957, subjectivity=0.36141304347826086)
On 2019-10-08, the article 'Democrats set date for November debate in Georgia' has a sentiment score of Sentiment(polarity=0.04820075757575757, subjectivity=0.3389520202020202)
On 2019-10-08, the article 'Andrew Yang qualifies for November Democratic debate' has a sentiment score of Sentiment(polarity=0.10876623376623377, subjectivity=0.3839826839826839)
On 2019-10-08, the article 'Hillary Clinton to Trump: 'Don't tempt me' into entering the 2020 presidential race' has a sentiment score of Sentiment(polarity=0.026851851851851852, subjectivity=0.3452057613168724)
On 2019-10-08, the article 'Here are the most common reasons Republicans use to defend Trump against impeachment' has a sentiment score of Sentiment(polarity=0.002848639455782306, subjectivity=0.38426870748299313)
On 2019-10-08, the article 'Inside the White House's effort to contain Ukraine call fallout' has a sentiment score of Sentiment(polarity=0.03577844179629894, subjectivity=0.309621842443271)
On 2019-10-08, the article 'Jimmy Carter to Trump: Tell the truth 'for a change' and don't 'stonewall' Congress' has a sentiment score of Sentiment(polarity=0.012499999999999997, subjectivity=0.30446428571428574)
On 2019-10-08, the article 'By normalizing foreign election interference, Trump makes a mockery of 'America First'' has a sentiment score of Sentiment(polarity=0.015422077922077924, subjectivity=0.33986846486846495)
On 2019-10-08, the article 'What is Mitt Romney's end game?' has a sentiment score of Sentiment(polarity=0.06925175399313327, subjectivity=0.5490370453301489)
On 2019-10-08, the article 'What the friendship of Ellen DeGeneres and George W. Bush should teach us' has a sentiment score of Sentiment(polarity=0.00024793856936714383, subjectivity=0.5024283137497424)
On 2019-10-04, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.06891412368685096, subjectivity=0.3908607840426022)
On 2019-10-08, the article 'Trump's focus on his base may not help him with impeachment inquiry' has a sentiment score of Sentiment(polarity=0.08801108418185882, subjectivity=0.48095896083572165)
On 2019-10-08, the article 'Everything that just happened in the impeachment inquiry' has a sentiment score of Sentiment(polarity=0.06721084471084471, subjectivity=0.39594599844599854)
On 2019-10-07, the article 'Trump defends Syria decision amid Republican backlash' has a sentiment score of Sentiment(polarity=0.058310125060125055, subjectivity=0.41456461439794773)
On 2019-10-08, the article 'The Trump administration sure is acting guilty on Ukraine' has a sentiment score of Sentiment(polarity=0.1649470899470899, subjectivity=0.5260639521509086)
On 2019-10-08, the article 'US blacklists 28 Chinese organizations and companies over Xinjiang camps' has a sentiment score of Sentiment(polarity=-0.044428571428571415, subjectivity=0.36226190476190484)
On 2019-10-08, the article 'White House escalates impeachment clash by ordering top diplomat not to testify' has a sentiment score of Sentiment(polarity=0.023681184922192126, subjectivity=0.45954898418927204)
On 2019-10-08, the article 'Biden higher education plan includes two years of free community college' has a sentiment score of Sentiment(polarity=0.08020424020424019, subjectivity=0.3638045288045288)
On 2019-10-07, the article 'As White House struggles with impeachment strategy, Trump's campaign takes the lead' has a sentiment score of Sentiment(polarity=0.07936761589105339, subjectivity=0.3503494769119768)
On 2019-10-07, the article 'Republican Sen. Rob Portman criticizes Trump for asking Ukraine and China to investigate Biden' has a sentiment score of Sentiment(polarity=0.009125744047619046, subjectivity=0.3107328869047619)
On 2019-10-07, the article 'Republicans try a new excuse to defend Trump: It's just a joke' has a sentiment score of Sentiment(polarity=-0.03759113693324218, subjectivity=0.5018265360370624)
On 2019-10-07, the article 'From treason to ISIS in Syria: fact-checking Trump's weekend barrage of false claims' has a sentiment score of Sentiment(polarity=0.05146797875663855, subjectivity=0.3714500139036222)
On 2019-10-07, the article 'How Bernie Sanders' heart attack changes the 2020 race' has a sentiment score of Sentiment(polarity=0.10112619248035914, subjectivity=0.3944585237293569)
On 2019-09-28, the article 'A readers' guide to fact-checking Trump's Ukraine controversy' has a sentiment score of Sentiment(polarity=0.07138335738335735, subjectivity=0.38499567099567106)
On 2019-10-07, the article 'Democrats subpoena Pentagon and OMB, expanding impeachment probe' has a sentiment score of Sentiment(polarity=0.02024073487488122, subjectivity=0.3034790412839192)
On 2019-10-07, the article 'Ex-special envoy for Ukraine resigns from top post at McCain Institute' has a sentiment score of Sentiment(polarity=0.013311688311688313, subjectivity=0.3096320346320346)
On 2019-10-07, the article 'Rick Perry says he 'absolutely' asked Trump to call Zelensky -- just not about the Bidens' has a sentiment score of Sentiment(polarity=0.11435142238713668, subjectivity=0.3595585961657391)
On 2019-10-07, the article 'Ron Johnson's nonsensical Ukraine answer is the GOP Trump defense in a nutshell' has a sentiment score of Sentiment(polarity=0.01950680272108844, subjectivity=0.3846130952380952)
On 2019-10-07, the article 'Streams for Nickelback's 'Photograph' rose after that Trump tweet, Nielsen says' has a sentiment score of Sentiment(polarity=0.08923076923076922, subjectivity=0.3184615384615385)
On 2019-10-01, the article '9 presidential candidates to appear at CNN's LGBTQ town hall' has a sentiment score of Sentiment(polarity=0.09062049062049062, subjectivity=0.28989898989898993)
On 2019-10-06, the article 'Donald Trump's tricky maneuver' has a sentiment score of Sentiment(polarity=0.05560521026592454, subjectivity=0.4444020047412905)
On 2019-10-07, the article 'Joe Biden grapples with attacks from Trump and the rising Warren threat' has a sentiment score of Sentiment(polarity=0.1262421551112027, subjectivity=0.4422473029615887)
On 2019-10-07, the article 'New twists put Republicans on spot in impeachment saga' has a sentiment score of Sentiment(polarity=0.02046738572162302, subjectivity=0.3691897791474063)
On 2019-10-07, the article 'Weekend bombshell: new whistleblower(s)' has a sentiment score of Sentiment(polarity=0.05210003044865431, subjectivity=0.3855302037412129)
On 2019-10-07, the article 'Booker on Trump-Ukraine scandal: 'If you come after Joe Biden, you're going to have to deal with me'' has a sentiment score of Sentiment(polarity=0.028763282172373086, subjectivity=0.23240358126721763)
On 2019-10-06, the article 'Start your Monday smart: SCOTUS, impeachment, mental health, NASA, Nobel, Pope, MLB' has a sentiment score of Sentiment(polarity=0.13149073794422633, subjectivity=0.4423703815564281)
On 2019-10-06, the article 'Bernie Sanders and the 2020 age debate' has a sentiment score of Sentiment(polarity=0.11093883007748553, subjectivity=0.4209385572410783)
On 2019-10-06, the article 'Lawyer for Ukraine whistleblower says he represents second whistleblower on Trump's actions' has a sentiment score of Sentiment(polarity=0.0425990675990676, subjectivity=0.2627233877233877)
On 2019-10-06, the article 'Energy Department: Rick Perry 'supported and encouraged' Trump to talk to Zelensky' has a sentiment score of Sentiment(polarity=-9.620009620008492e-05, subjectivity=0.29760702260702265)
On 2019-10-06, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.039602925809822366, subjectivity=0.2883726426829875)
On 2019-10-06, the article 'Fact check: Why Trump's sudden fixation on 'investigating corruption' doesn't add up' has a sentiment score of Sentiment(polarity=0.013909503195217485, subjectivity=0.37426561533704394)
On 2019-10-06, the article 'After the Ukraine call, many world leaders may duck dealing with Trump' has a sentiment score of Sentiment(polarity=0.016123208687863863, subjectivity=0.41333454620092536)
On 2019-10-06, the article 'GOP challenger says Trump is a traitor for asking Ukraine and China to investigate Bidens' has a sentiment score of Sentiment(polarity=0.04712585034013605, subjectivity=0.3643197278911564)
On 2019-10-05, the article 'What's Nancy Pelosi's endgame?' has a sentiment score of Sentiment(polarity=0.05168813571252595, subjectivity=0.4602654594727765)
On 2019-10-04, the article 'Trump insults Mitt Romney after Republican senator's tough criticism of President' has a sentiment score of Sentiment(polarity=-0.04537075827398406, subjectivity=0.4497626029884095)
On 2019-10-05, the article 'Giuliani's case rests on two Ukrainians with checkered pasts and suspect motives' has a sentiment score of Sentiment(polarity=-0.03198751679355127, subjectivity=0.37173085535154493)
On 2019-10-05, the article 'Diplomats angry and afraid as Ukraine controversy embroils Pompeo's State Department' has a sentiment score of Sentiment(polarity=0.043693349134525605, subjectivity=0.3185748401924873)
On 2019-10-05, the article 'Pompeo might go down as the worst secretary of state in modern times' has a sentiment score of Sentiment(polarity=0.012252735690235697, subjectivity=0.46994298140131474)
On 2019-10-05, the article 'Michigan Democrat confronted over support of impeachment inquiry at town hall' has a sentiment score of Sentiment(polarity=-0.005529835390946503, subjectivity=0.45020576131687234)
On 2019-10-05, the article 'Tucker Carlson says Trump's Ukraine call was inappropriate: 'There's no way to spin this'' has a sentiment score of Sentiment(polarity=0.04981398809523811, subjectivity=0.6529389880952381)
On 2019-10-05, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.018414069860350858, subjectivity=0.3954995647144406)
On 2019-10-05, the article 'Bernie Sanders' heart attack raises questions' has a sentiment score of Sentiment(polarity=0.08297077922077921, subjectivity=0.4783035714285716)
On 2019-10-05, the article 'Here's the latest on the fast-moving impeachment inquiry' has a sentiment score of Sentiment(polarity=0.09178935681362867, subjectivity=0.4344005940122445)
On 2019-10-05, the article 'Pompeo fails to meet House subpoena deadline to produce Ukraine documents' has a sentiment score of Sentiment(polarity=-0.014527629233511589, subjectivity=0.30271836007130126)
On 2019-10-05, the article 'Trump's approval rating shows there's no sign yet of impeachment backlash against Democrats' has a sentiment score of Sentiment(polarity=0.06244846423417851, subjectivity=0.393209058515181)
On 2019-10-04, the article 'Pentagon orders the preservation of all records relating to Ukraine' has a sentiment score of Sentiment(polarity=0.02977855477855477, subjectivity=0.34135586635586634)
On 2019-10-05, the article 'Joe Biden calls Trump 'unhinged' in first new ad of $6 million early-state push' has a sentiment score of Sentiment(polarity=0.06524926686217011, subjectivity=0.3599706744868035)
On 2019-10-05, the article 'New York Times: 2nd intelligence official might submit whistleblower complaint' has a sentiment score of Sentiment(polarity=0.00881655844155844, subjectivity=0.3377337662337663)
On 2019-10-04, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.05217123142723486, subjectivity=0.3733799648036355)
On 2019-10-02, the article 'Historians on Trump: We've never seen anything like this' has a sentiment score of Sentiment(polarity=0.02740924092409241, subjectivity=0.364862486248625)
On 2019-10-04, the article 'House Democrats subpoena White House for Ukraine documents, escalating impeachment probe' has a sentiment score of Sentiment(polarity=-0.021760800927467593, subjectivity=0.2902661381828049)
On 2019-10-04, the article 'Rick Perry is anonymous in the Trump Cabinet no more as Ukraine questions mount' has a sentiment score of Sentiment(polarity=0.05923732094463802, subjectivity=0.3279055361982191)
On 2019-10-04, the article 'Donald Trump should probably stop talking now' has a sentiment score of Sentiment(polarity=0.09626115277523728, subjectivity=0.39295673028067385)
On 2019-10-04, the article 'Top diplomat texted it would be "crazy" to withhold Ukraine aid' has a sentiment score of Sentiment(polarity=0.04223809523809524, subjectivity=0.4368528138528139)
On 2019-10-04, the article 'Trump is giving late night TV plenty to talk about. Trouble is, viewership is falling' has a sentiment score of Sentiment(polarity=0.07840089203725568, subjectivity=0.39248655385019016)
On 2019-10-04, the article 'Steve Bullock raised nearly $2.3 million in third fundraising quarter' has a sentiment score of Sentiment(polarity=0.040336134453781515, subjectivity=0.4579831932773109)
On 2019-10-04, the article 'Inspector general provided intel committee docs on how he corroborated whistleblower complaint' has a sentiment score of Sentiment(polarity=-0.03130597014925374, subjectivity=0.32594527363184067)
On 2019-10-04, the article 'Volker: Trump said Ukraine 'tried to take me down' and was influenced by negative information from Giuliani' has a sentiment score of Sentiment(polarity=-0.0251998001998002, subjectivity=0.3625174825174825)
On 2019-10-04, the article 'Republicans dare Pelosi to hold impeachment vote' has a sentiment score of Sentiment(polarity=0.03674007152268022, subjectivity=0.2862436476566912)
On 2019-10-04, the article 'This is some terrible political analysis by Donald Trump' has a sentiment score of Sentiment(polarity=0.08452503429355276, subjectivity=0.4875024495394864)
On 2019-10-04, the article 'Ernst confronted by Iowan constituent for not 'standing up' to Trump' has a sentiment score of Sentiment(polarity=0.10905238095238096, subjectivity=0.3619349206349206)
On 2019-10-04, the article 'In heated exchange, Navarro says he won't 'confirm or deny' whether he 'personally' raised Biden investigation with China' has a sentiment score of Sentiment(polarity=0.01940000000000001, subjectivity=0.2909333333333334)
On 2019-10-04, the article 'Ukraine will review probes into owner of gas company linked to Biden's son' has a sentiment score of Sentiment(polarity=0.03287296037296038, subjectivity=0.3648543123543123)
On 2019-10-04, the article 'The real issue isn't Donald Trump. It's his party.' has a sentiment score of Sentiment(polarity=0.08433161216293747, subjectivity=0.4581220118569517)
On 2019-10-04, the article 'Elizabeth Warren raises $24.6 million in third quarter, reinforcing status among 2020 front-runners' has a sentiment score of Sentiment(polarity=0.10316205533596844, subjectivity=0.45583003952569173)
On 2019-10-04, the article 'Inside the impeachment inquiry: White House rushes to gather facts as probe escalates' has a sentiment score of Sentiment(polarity=0.044254658385093175, subjectivity=0.2971920289855073)
On 2019-10-03, the article 'Mitch McConnell raises money vowing to stop impeachment' has a sentiment score of Sentiment(polarity=0.030868957431457428, subjectivity=0.4244077681577681)
On 2019-10-04, the article 'Here are the top 10 latest developments on Trump, Ukraine and China' has a sentiment score of Sentiment(polarity=0.029620301816563492, subjectivity=0.40921127159444926)
On 2019-10-04, the article 'Why the Ukraine and China calls may be only the tip of the Trump iceberg' has a sentiment score of Sentiment(polarity=0.06067422161172162, subjectivity=0.4517857142857143)
On 2019-10-04, the article 'New Trump impeachment defense already under siege' has a sentiment score of Sentiment(polarity=0.032736884978820484, subjectivity=0.38672143089885025)
On 2019-10-04, the article 'Bad actors already want a piece of the 2020 election, and we still haven't dealt with 2016' has a sentiment score of Sentiment(polarity=-0.009682037371910788, subjectivity=0.40774562989752866)
On 2019-09-27, the article 'Fact-checking Trump's claims about the Bidens in China' has a sentiment score of Sentiment(polarity=-0.012331296154825566, subjectivity=0.3122803666921315)
On 2019-10-04, the article 'Damning text messages detail Trump pressure on Ukraine' has a sentiment score of Sentiment(polarity=0.029827374271818714, subjectivity=0.39257321896210784)
On 2019-10-04, the article '5 things to know for October 4: Impeachment, Paris, Haiti, Bernie Sanders, EEE' has a sentiment score of Sentiment(polarity=0.07763138024765931, subjectivity=0.38186096848887546)
On 2019-10-04, the article 'Why China is the worst country Trump could ask for a favor' has a sentiment score of Sentiment(polarity=0.05174645390070921, subjectivity=0.3530724417426545)
On 2019-10-04, the article 'Trump says he has 'absolute right' to ask 'other Countries' to investigate corruption' has a sentiment score of Sentiment(polarity=0.05281808035714286, subjectivity=0.31603422619047616)
On 2019-10-03, the article 'Trump raised Biden with Xi in June call housed in highly secure server' has a sentiment score of Sentiment(polarity=0.06626815579684434, subjectivity=0.3590712748089797)
On 2019-10-03, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.051630548610957505, subjectivity=0.376189616270536)
On 2019-10-03, the article 'WSJ: Trump ordered removal of US ambassador to Ukraine' has a sentiment score of Sentiment(polarity=0.019670370370370376, subjectivity=0.3529296296296296)
On 2019-10-03, the article 'Trump may have just committed an impeachable offense that's worse than the Ukraine one' has a sentiment score of Sentiment(polarity=0.056370573870573884, subjectivity=0.40663614163614165)
On 2019-10-04, the article 'Pence was told about call between Trump and Zelensky the day after it happened' has a sentiment score of Sentiment(polarity=0.15245098039215688, subjectivity=0.30294117647058827)
On 2019-10-03, the article 'White House scrubs notice saying Trump 'asked Ukraine to fully cooperate' in DOJ Biden investigation' has a sentiment score of Sentiment(polarity=0.00821428571428572, subjectivity=0.19683673469387758)
On 2019-10-03, the article 'Volker urged Ukrainians not to interfere in US politics after Trump call' has a sentiment score of Sentiment(polarity=0.009903748733535979, subjectivity=0.4009878419452887)
On 2019-10-03, the article 'The other secret calls that could sink Trump' has a sentiment score of Sentiment(polarity=0.03343097120271034, subjectivity=0.43116118482966315)
On 2019-10-03, the article 'Kamala Harris calls on White House to release information on Trump-Xi Jinping calls' has a sentiment score of Sentiment(polarity=0.003518589253883375, subjectivity=0.2832365673542144)
On 2019-10-03, the article 'No room for error as Trump and Republicans scrutinize Adam Schiff' has a sentiment score of Sentiment(polarity=0.024380165289256198, subjectivity=0.343956611570248)
On 2019-10-03, the article 'Joe Biden raises $15.2 million in third quarter, falling behind previous haul' has a sentiment score of Sentiment(polarity=0.07664141414141414, subjectivity=0.2892676767676768)
On 2019-10-03, the article 'Frustrated with news coverage, Trump suggests launching own network' has a sentiment score of Sentiment(polarity=-0.05045454545454545, subjectivity=0.44737373737373737)
On 2019-10-03, the article 'Anyone else feel the 2016 déjà vu?' has a sentiment score of Sentiment(polarity=0.07436868686868686, subjectivity=0.3067019400352734)
On 2019-10-03, the article 'Kevin McCarthy calls on Nancy Pelosi to suspend impeachment inquiry' has a sentiment score of Sentiment(polarity=0.02588023088023088, subjectivity=0.4082627022100707)
On 2019-10-03, the article 'Trump spends official event attacking Democrats and floating a conspiracy' has a sentiment score of Sentiment(polarity=0.06193750000000001, subjectivity=0.4960416666666666)
On 2019-10-03, the article 'Beto O'Rourke escalates fight with Pete Buttigieg over guns' has a sentiment score of Sentiment(polarity=0.12114400305576774, subjectivity=0.39029093455564046)
On 2019-10-03, the article 'Twitter removes Trump's Nickelback video after copyright complaint' has a sentiment score of Sentiment(polarity=-0.12, subjectivity=0.1)
On 2019-10-03, the article 'Pence defends Trump over Ukraine call' has a sentiment score of Sentiment(polarity=0.12909863945578232, subjectivity=0.29698979591836744)
On 2019-10-03, the article 'Trump's foul mood leads him deeper into darkness' has a sentiment score of Sentiment(polarity=-0.0017429261559696349, subjectivity=0.4269530710835059)
On 2019-10-03, the article 'Ranking the 2020 Democrats' has a sentiment score of Sentiment(polarity=0.08800414003985438, subjectivity=0.4255922833779975)
On 2013-08-28, the article 'Longest Serving US Senators Fast Facts' has a sentiment score of Sentiment(polarity=0.26904761904761904, subjectivity=0.5523809523809523)
On 2019-10-03, the article 'Republican senators echoed Biden in urging Ukrainian president to reform prosecutor general's office' has a sentiment score of Sentiment(polarity=0.01606054879864404, subjectivity=0.40078425983187893)
On 2019-10-03, the article 'Quickly catch up on the day's news' has a sentiment score of Sentiment(polarity=-0.02469298245614036, subjectivity=0.378859649122807)
On 2019-10-03, the article 'Trump now says both China and Ukraine should investigate Bidens' has a sentiment score of Sentiment(polarity=0.0389423076923077, subjectivity=0.4092032967032967)
On 2019-10-03, the article 'The 2020 field is shrinking and the candidates know it' has a sentiment score of Sentiment(polarity=0.06995203147546898, subjectivity=0.36976714691558427)
On 2019-10-03, the article 'Biden to Trump: 'You're not going to destroy me'' has a sentiment score of Sentiment(polarity=-0.07850942460317459, subjectivity=0.5042286706349207)
On 2019-10-02, the article 'Kurt Volker: Diplomat never 'fully on the Trump train' set to appear as first witness in Ukraine probe' has a sentiment score of Sentiment(polarity=0.012638056388056393, subjectivity=0.2905802530802532)
On 2019-10-02, the article 'Putin jokes that Russia will meddle in 2020 US elections' has a sentiment score of Sentiment(polarity=-0.0032108843537414977, subjectivity=0.3848832199546486)
On 2019-10-03, the article 'Trump's Ukraine mess leads to anxiety in Pence world' has a sentiment score of Sentiment(polarity=0.10455968552520277, subjectivity=0.3934385978006668)
On 2019-10-03, the article 'Trump sought to use new allies in debunking Russia investigation' has a sentiment score of Sentiment(polarity=0.08384495370809242, subjectivity=0.4289337061964798)
On 2019-10-02, the article 'Trump's private fury over impeachment spills into the public' has a sentiment score of Sentiment(polarity=0.009590909090909087, subjectivity=0.35952525252525247)
On 2019-10-03, the article 'Mike Pence can't escape Trump's Ukraine scandal' has a sentiment score of Sentiment(polarity=0.08421130409082216, subjectivity=0.3826279142544202)
On 2019-10-03, the article 'Kamala Harris' poll numbers tumble in her home state of California' has a sentiment score of Sentiment(polarity=0.10461582313434166, subjectivity=0.4566591844369622)
On 2019-10-03, the article 'Trump dodged one of the key questions about Ukraine — so this reporter kept asking' has a sentiment score of Sentiment(polarity=0.06964865646506276, subjectivity=0.5125587194923134)
On 2019-10-01, the article 'Maxine Waters says Trump 'needs to be imprisoned' and put in 'solitary confinement'' has a sentiment score of Sentiment(polarity=-0.0789972899728997, subjectivity=0.40535230352303514)
On 2019-10-03, the article 'Ukraine scandal drives another day of breaking news in Washington. Here's the latest.' has a sentiment score of Sentiment(polarity=0.020058504297634727, subjectivity=0.3293070456113934)
On 2019-10-02, the article 'State Department inspector general gives Congress documents that Giuliani provided' has a sentiment score of Sentiment(polarity=0.022043256222943723, subjectivity=0.34229572510822515)
On 2019-10-02, the article 'Beneath the impeachment spin: Growing GOP concern' has a sentiment score of Sentiment(polarity=0.09539374657909139, subjectivity=0.3756636562671046)
On 2019-10-02, the article 'The latest on Trump's impeachment inquiry' has a sentiment score of Sentiment(polarity=0.06252027390403772, subjectivity=0.4103837071087995)
On 2019-10-02, the article 'Fact check: Trump attacks Washington Post over book by New York Times journalists' has a sentiment score of Sentiment(polarity=0.004960683847402601, subjectivity=0.4376358732413422)
On 2019-10-02, the article 'Donald Trump, at his absolute worst' has a sentiment score of Sentiment(polarity=-0.05421875, subjectivity=0.53015625)
On 2019-10-02, the article 'Bernie Sanders off campaign trail 'until further notice' after being treated for artery blockage' has a sentiment score of Sentiment(polarity=0.19873046325968405, subjectivity=0.3676786417046157)
On 2019-10-02, the article 'Whistleblower went to Intelligence Committee for guidance before filing complaint' has a sentiment score of Sentiment(polarity=-0.06505681818181817, subjectivity=0.27860868298368296)
On 2019-10-02, the article 'The Ukraine transcript doesn't prove what Donald Trump thinks it proves' has a sentiment score of Sentiment(polarity=0.009939458689458692, subjectivity=0.43398402523402535)
On 2019-10-02, the article 'Trump has already said he's OK working with foreign governments against his US rivals' has a sentiment score of Sentiment(polarity=0.02194700460829494, subjectivity=0.41088069636456737)
On 2019-10-02, the article 'Nancy Pelosi says Trump is 'scared' of House Democrats' impeachment inquiry' has a sentiment score of Sentiment(polarity=0.020000000000000004, subjectivity=0.3755555555555556)
On 2019-10-02, the article 'Rick Perry says he'll cooperate with Congress on Ukraine questions' has a sentiment score of Sentiment(polarity=0.03053030303030304, subjectivity=0.330190250925545)
On 2019-10-02, the article 'Impeaching Trump could do Republicans and the Russians a favor' has a sentiment score of Sentiment(polarity=0.07776844532279317, subjectivity=0.38692570111048374)
On 2019-10-02, the article 'The remarkably casual sexism of Donald Trump' has a sentiment score of Sentiment(polarity=0.044299348527289714, subjectivity=0.473202349121467)
On 2019-10-02, the article 'John Dean: When I was a whistleblower, the Justice Department protected me' has a sentiment score of Sentiment(polarity=0.08270966321813782, subjectivity=0.465098931200626)
On 2019-10-02, the article 'It's been just seven bonkers days since the Ukraine transcript dropped' has a sentiment score of Sentiment(polarity=0.03370030352788973, subjectivity=0.3371610190575708)
On 2019-10-02, the article 'What happened to Rudy Giuliani? It's a long story' has a sentiment score of Sentiment(polarity=0.05655693144065238, subjectivity=0.4704527836504582)
On 2019-10-02, the article 'Poll finds Warren and Biden locked in a tight race for Democratic nomination' has a sentiment score of Sentiment(polarity=0.1041396103896104, subjectivity=0.4590638528138528)
On 2019-10-02, the article 'Trump demanded a Ukraine policy review. Months later, no one will say what happened.' has a sentiment score of Sentiment(polarity=0.01413398692810458, subjectivity=0.31111694677871143)
On 2019-10-02, the article 'Podium order announced for the CNN/New York Times Democratic presidential debate' has a sentiment score of Sentiment(polarity=0.06096610706366802, subjectivity=0.3404672157111182)
On 2019-10-02, the article 'Fact check: Trump invented imaginary CNN studio, made 58 other false claims last week' has a sentiment score of Sentiment(polarity=0.027237327325046634, subjectivity=0.4733140949369021)
On 2019-10-02, the article 'Pompeo: 'I was on the phone call' with Trump and Ukrainian President' has a sentiment score of Sentiment(polarity=0.03136123136123137, subjectivity=0.3287217412217412)
On 2019-10-02, the article 'This poll number proves how powerful Trump's misinformation machine really is' has a sentiment score of Sentiment(polarity=0.0001900170536534099, subjectivity=0.4201100616555162)
On 2019-10-02, the article 'Quickly catch up on the day's news' has a sentiment score of Sentiment(polarity=0.15625, subjectivity=0.28750000000000003)
On 2019-10-02, the article 'Who is the State Department inspector general briefing Congress today?' has a sentiment score of Sentiment(polarity=-0.03685897435897436, subjectivity=0.37880036630036634)
On 2019-10-02, the article 'An outsider's guide to the men in Trump's impeachment scandal' has a sentiment score of Sentiment(polarity=0.08515361952861955, subjectivity=0.4261679292929293)
On 2019-09-30, the article 'Andrew Yang is a rock star to his supporters. Can that propel him to the presidency?' has a sentiment score of Sentiment(polarity=0.1714452766299358, subjectivity=0.4142697091418683)
On 2019-10-02, the article 'Ukraine's ex-president says he had no knowledge of prosecutor's offer to help Trump' has a sentiment score of Sentiment(polarity=0.008501683501683503, subjectivity=0.2773358585858586)
On 2019-10-01, the article 'State Department inspector general requests urgent briefing on Ukraine with congressional staff' has a sentiment score of Sentiment(polarity=-0.004885912698412692, subjectivity=0.2744047619047619)
On 2019-10-02, the article 'Trump lashes out at Democrats leading impeachment inquiry' has a sentiment score of Sentiment(polarity=0.09795828781810088, subjectivity=0.4506331000256233)
On 2019-10-02, the article 'Here's the latest on what happened in another wild couple of days of the Trump-Ukraine scandal' has a sentiment score of Sentiment(polarity=0.0306555727656645, subjectivity=0.3462833445860968)
On 2019-10-02, the article 'US expected to announce approval of anti-tank missiles sale to Ukraine mentioned on Trump-Zelensky call' has a sentiment score of Sentiment(polarity=0.08552631578947369, subjectivity=0.3728070175438597)
On 2019-10-02, the article 'The Trump impeachment effort will be different from all the others' has a sentiment score of Sentiment(polarity=0.04246498599439776, subjectivity=0.4791456582633052)
On 2019-10-02, the article 'Biden's gun control plan would impose strict regulations on owners of assault-style rifles' has a sentiment score of Sentiment(polarity=0.08049641148325361, subjectivity=0.4677292663476874)
On 2019-10-02, the article 'New stories about Trump raise the question: How much more will come out?' has a sentiment score of Sentiment(polarity=0.07313081798375916, subjectivity=0.4849452154599215)
On 2019-10-01, the article 'House Democrats warn Pompeo to stop 'intimidating' witnesses' has a sentiment score of Sentiment(polarity=-0.02369146005509641, subjectivity=0.3592860422405878)
On 2019-10-02, the article 'All the President's men: Trump's allies part of a tangled web' has a sentiment score of Sentiment(polarity=0.07273312037424941, subjectivity=0.40385822510822517)
On 2019-10-01, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.08338072915420984, subjectivity=0.36723039391547685)
On 2019-10-01, the article 'Why Trump's impeachment inquiry will be more divisive than Nixon/Clinton' has a sentiment score of Sentiment(polarity=0.1129662698412698, subjectivity=0.45135101010101014)
On 2019-10-01, the article 'Trump and RNC raise $125 million for reelection bid in third quarter' has a sentiment score of Sentiment(polarity=-0.002083333333333333, subjectivity=0.18541666666666667)
On 2019-10-01, the article 'The $$$ primary is on!' has a sentiment score of Sentiment(polarity=0.1540606060606061, subjectivity=0.5562853535353535)
On 2019-10-01, the article 'How Lindsey Graham's support for Trump -- a man he once called a 'jackass' -- has evolved' has a sentiment score of Sentiment(polarity=0.06204413027197838, subjectivity=0.40691760419608525)
On 2019-10-01, the article 'Senior GOP senator rebukes Trump, says whistleblower 'ought to be heard out'' has a sentiment score of Sentiment(polarity=-0.0045045045045045, subjectivity=0.34459459459459457)
On 2019-10-01, the article 'Kamala Harris raises $11.6 million in third quarter' has a sentiment score of Sentiment(polarity=0.07395014964459411, subjectivity=0.3671979769201992)
On 2019-10-01, the article 'Connected by subpoenas: Giuliani and his Ukrainian middleman Lev Parnas face increased scrutiny' has a sentiment score of Sentiment(polarity=0.04916869588744589, subjectivity=0.3111823593073593)
On 2019-10-01, the article 'Bernie Sanders to launch his first 2020 TV ad in Iowa' has a sentiment score of Sentiment(polarity=0.02644183773216031, subjectivity=0.39342619745845553)
On 2019-10-01, the article 'Trump's threats against the whistleblower are dangerous' has a sentiment score of Sentiment(polarity=0.05527248677248677, subjectivity=0.4656878306878307)
